state,year,less_9th_grade,9_12th_grade,high_school,some_college_no_degree,associate,bachelor,graduate
Maine,2021,21249,41358,307382,188263,102198,209253,125197
Maryland,2012,172939,272887,1008437,770779,241919,774417,633904
Maryland,2013,172076,270755,1016343,773864,245871,789022,654896
Maryland,2014,169936,267259,1022911,779089,252220,805699,676079
Maryland,2015,167285,260143,1026600,785207,256254,826439,696531
Maryland,2016,166541,254215,1030305,784968,259899,838732,717979
Maryland,2017,166515,251201,1027608,786290,266816,860298,736699
Maryland,2018,164123,245634,1021847,779171,273518,877641,752924
Maryland,2019,164399,241064,1018653,774331,277837,891511,771213
Maryland,2020,161130,231898,1006008,779586,282898,907523,795655
Maryland,2021,161682,229671,1014292,782055,290613,934036,828446
Massachusetts,2012,216669,268218,1156650,739171,344724,989299,751167
Massachusetts,2013,218530,260180,1163738,743847,348097,1006270,770052
Massachusetts,2014,222831,255123,1165918,741865,352173,1030633,792803
Massachusetts,2015,220055,251050,1169375,745794,357133,1049150,817953
Massachusetts,2016,216787,245598,1167098,743934,359774,1072120,844686
Massachusetts,2017,216649,241431,1162683,741582,363330,1101605,879256
Massachusetts,2018,214205,240155,1150846,740784,365103,1128877,908825
Massachusetts,2019,208460,233484,1148525,738484,363665,1151870,937195
Massachusetts,2020,202050,227744,1133358,738260,369777,1181453,962689
Massachusetts,2021,207481,225734,1137085,739611,376608,1215939,1000410
Michigan,2012,227617,516802,2021310,1581958,551652,1033830,645350
Michigan,2013,224051,506432,2006233,1582702,564950,1049930,660288
Michigan,2014,219319,490686,1997619,1583140,580404,1068984,679682
Michigan,2015,213245,480212,1988382,1583736,595198,1094936,696956
Michigan,2016,209210,467257,1978662,1587525,608429,1117697,714101
Michigan,2017,204526,452157,1966110,1588068,622070,1147842,739199
Michigan,2018,200210,441326,1966809,1590065,636753,1179677,757375
Michigan,2019,194755,431435,1967316,1591358,643446,1207829,777341
Michigan,2020,186848,409465,1955654,1587649,658927,1251117,804014
Michigan,2021,182779,400122,1971279,1578085,671205,1287856,831806
Minnesota,2012,116650,169189,955846,794194,353432,768061,368478
Minnesota,2013,115449,167413,956785,796062,365212,781186,380224
Minnesota,2014,112930,164848,951353,797819,378366,801653,392259
Minnesota,2015,113380,161393,946686,796046,390242,818315,406930
Minnesota,2016,111920,158201,940315,795793,401968,834294,419643
Minnesota,2017,111960,155089,938846,795044,411916,849439,436311
Minnesota,2018,109242,153159,930058,792097,424424,871363,451419
Minnesota,2019,109319,149072,928450,789467,431425,892893,466274
Minnesota,2020,104830,147501,921198,789426,440908,919059,479516
Minnesota,2021,105415,142195,919096,787693,447640,944751,500711
