GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "32000","Nevada",8,SARPP,2,"..."," RPPs: Goods ","Index",96.224,101.586,98.211,99.507,99.682,97.591,96.524,96.232,95.279,99.710,95.556,98.745,96.071,96.964
 "33000","New Hampshire",1,SARPP,2,"..."," RPPs: Goods ","Index",98.903,98.428,98.536,99.944,99.878,99.513,101.745,101.237,101.720,102.013,101.467,100.702,101.879,101.996
 "34000","New Jersey",2,SARPP,2,"..."," RPPs: Goods ","Index",103.763,104.569,100.245,102.232,104.382,104.877,102.129,103.900,103.464,101.639,106.707,105.313,105.549,101.853
 "35000","New Mexico",6,SARPP,2,"..."," RPPs: Goods ","Index",97.805,100.704,97.840,98.774,99.200,97.601,97.212,98.613,98.088,100.879,96.151,99.192,96.693,96.853
 "36000","New York",2,SARPP,2,"..."," RPPs: Goods ","Index",112.139,109.597,108.347,108.024,108.683,107.454,107.790,108.095,107.880,108.083,106.786,105.270,106.079,102.001
 "37000","North Carolina",5,SARPP,2,"..."," RPPs: Goods ","Index",96.695,94.372,96.895,96.349,95.544,96.008,95.724,94.922,95.840,95.814,95.871,95.882,95.579,96.141
 "38000","North Dakota",4,SARPP,2,"..."," RPPs: Goods ","Index",85.044,90.118,95.022,95.028,95.766,95.738,97.553,97.562,96.246,94.977,94.555,97.068,96.405,94.171
 "39000","Ohio",3,SARPP,2,"..."," RPPs: Goods ","Index",92.326,94.047,94.560,94.847,96.332,97.042,97.370,96.855,96.335,95.477,97.504,96.086,94.483,95.034
 "40000","Oklahoma",6,SARPP,2,"..."," RPPs: Goods ","Index",96.836,94.273,96.964,96.287,95.224,96.017,95.981,94.996,95.816,95.712,93.776,95.367,94.768,95.763
 "41000","Oregon",8,SARPP,2,"..."," RPPs: Goods ","Index",95.384,101.693,99.842,99.957,100.421,98.533,99.063,99.185,100.278,100.294,104.639,104.750,104.970,106.256
