state,year,total_housing,total_hh,avg_hh_size,occ_housing,vacant_housing,ho_vac_rate,ren_vac_rate,median_rooms,median_value,ho_housing,housing_mort,housing_wo_mort,meidan_rent
Michigan,2013,4532719,3823280,2.53,3823280,706031,2.4,7.8,5.7,121700,2757062,1785245,971817,768
Michigan,2014,4529311,3827880,2.52,3827880,704839,2.2,7,5.7,120200,2738012,1742132,995880,780
Michigan,2015,4544920,3841148,2.52,3841148,698690,2.2,6.2,5.7,122400,2728815,1707715,1021100,783
Michigan,2016,4539838,3860394,2.51,3860394,684526,1.9,5.7,5.7,127800,2732051,1687257,1044794,799
Michigan,2017,4580939,3888646,2.49,3888646,679554,1.8,5.5,5.8,136400,2760156,1683777,1076379,824
Michigan,2018,4568200,3909509,2.49,3909509,671430,1.6,5.2,5.8,146200,2777114,1681021,1096093,850
Michigan,2019,4596198,3935041,2.47,3935041,661157,1.5,5.1,5.8,154900,2802699,1684941,1117758,871
Michigan,2020,4611913,3980408,2.45,3980408,631505,1.3,5,5.8,162600,2855485,1702529,1152956,892
Michigan,2021,4566504,3976729,2.48,3976729,589775,1.1,4.8,5.8,172100,2870693,1710024,1160669,946
Minnesota,2012,2347928,2101875,2.46,2101875,246053,1.7,5.2,5.9,194300,1534719,1078695,456024,802
Minnesota,2013,2364149,2107232,2.47,2107232,246700,1.6,4.9,6,187900,1528272,1063566,464706,819
Minnesota,2014,2353932,2115337,2.48,2115337,248812,1.5,4.6,6,185200,1525201,1048966,476235,835
Minnesota,2015,2382855,2124745,2.49,2124745,249139,1.4,4.3,6,186200,1522618,1035021,487597,848
Minnesota,2016,2373884,2135310,2.49,2135310,247545,1.3,4,6,191500,1525611,1028263,497348,873
Minnesota,2017,2420473,2153202,2.49,2153202,251422,1.2,4.1,6,199700,1542041,1034750,507291,906
Minnesota,2018,2404624,2167801,2.49,2167801,252672,1,4.2,6,211800,1551290,1034568,516722,944
Minnesota,2019,2438203,2185603,2.49,2185603,252600,1,4.2,6,223900,1564870,1037895,526975,977
Minnesota,2020,2458030,2207988,2.48,2207988,250042,0.8,4.2,6.1,235700,1588611,1048465,540146,1010
Minnesota,2021,2470483,2229100,2.49,2229100,241383,0.7,4.7,6.1,250200,1610801,1056453,554348,1081
Mississippi,2012,1274277,1087791,2.64,1087791,186486,2.1,11.2,5.4,100200,760513,416412,344101,688
Mississippi,2013,1284794,1088073,2.65,1088073,189449,2,11.1,5.4,99900,755132,408914,346218,702
Mississippi,2014,1277522,1092627,2.64,1092627,192167,2,10.6,5.4,100800,752825,401820,351005,714
Mississippi,2015,1295242,1096593,2.64,1096593,193111,1.9,10,5.4,103100,749982,392241,357741,717
Mississippi,2016,1289704,1098803,2.63,1098803,196439,2,9.2,5.5,105700,746399,383533,362866,723
Mississippi,2017,1316108,1103514,2.62,1103514,204745,2,9.3,5.5,109300,751649,379891,371758,740
Mississippi,2018,1308259,1105576,2.62,1105576,210532,2,9.5,5.5,114500,754018,374676,379342,762
Mississippi,2019,1322808,1104394,2.62,1104394,218414,2.1,9.8,5.5,119000,752841,371622,381219,780
Mississippi,2020,1330867,1116649,2.59,1116649,214218,1.8,9.5,5.6,125500,767972,384096,383876,789
Mississippi,2021,1317375,1108670,2.6,1108670,208705,1.6,9.4,5.6,133000,764115,381330,382785,830
Missouri,2012,2710506,2358270,2.46,2358270,352236,2.5,7.9,5.6,138400,1626389,1071204,555185,712
Missouri,2013,2723417,2360131,2.47,2360131,353698,2.4,7.5,5.6,137000,1613941,1050826,563115,727
Missouri,2014,2713829,2361232,2.48,2361232,362185,2.3,7.3,5.6,136700,1604282,1032485,571797,740
Missouri,2015,2738774,2364688,2.48,2364688,365174,2.1,6.9,5.6,138400,1590020,1011490,578530,746
